period_id,turn_id,current_price,reserve_price,agent_selected,action,bid,max_bids,highest_bidder
0,0,0,40,Bidder Charles,bid,1.0,"{'Bidder Andy': 0, 'Bidder Betty': 0, 'Bidder Charles': 1.0}",Bidder Charles
0,1,2.0,40,Bidder Andy,bid,10.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 0, 'Bidder Charles': 1.0}",Bidder Andy
0,2,4.0,40,Bidder Betty,bid,3.0,"{'Bidder Andy': 10.0, 'Bidder Betty': 3.0, 'Bidder Charles': 1.0}",Bidder Andy
1,0,4.0,40,Bidder Andy,bid,15.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 3.0, 'Bidder Charles': 1.0}",Bidder Andy
1,1,6.0,40,Bidder Betty,bid,5.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 5.0, 'Bidder Charles': 1.0}",Bidder Andy
1,2,6.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 5.0, 'Bidder Charles': 1.0}",Bidder Andy
2,0,8.0,40,Bidder Charles,bid,7.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 5.0, 'Bidder Charles': 7.0}",Bidder Andy
2,1,10.0,40,Bidder Betty,bid,9.0,"{'Bidder Andy': 15.0, 'Bidder Betty': 9.0, 'Bidder Charles': 7.0}",Bidder Andy
2,2,10.0,40,Bidder Andy,bid,20.0,"{'Bidder Andy': 20.0, 'Bidder Betty': 9.0, 'Bidder Charles': 7.0}",Bidder Andy
3,0,12.0,40,Bidder Betty,bid,11.0,"{'Bidder Andy': 20.0, 'Bidder Betty': 11.0, 'Bidder Charles': 7.0}",Bidder Andy
3,1,12.0,40,Bidder Andy,bid,22.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 11.0, 'Bidder Charles': 7.0}",Bidder Andy
3,2,14.0,40,Bidder Charles,bid,13.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 11.0, 'Bidder Charles': 13.0}",Bidder Andy
4,0,16.0,40,Bidder Charles,bid,15.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 11.0, 'Bidder Charles': 15.0}",Bidder Andy
4,1,16.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 22.0, 'Bidder Betty': 11.0, 'Bidder Charles': 15.0}",Bidder Andy
4,2,16.0,40,Bidder Andy,bid,24.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 11.0, 'Bidder Charles': 15.0}",Bidder Andy
5,0,20.0,40,Bidder Charles,bid,19.0,"{'Bidder Andy': 24.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
5,1,20.0,40,Bidder Andy,bid,30.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
5,2,20.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
6,0,20.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 30.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
6,1,20.0,40,Bidder Andy,bid,40.0,"{'Bidder Andy': 40.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
6,2,20.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 40.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
7,0,20.0,40,Bidder Andy,bid,50.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
7,1,20.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
7,2,20.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
8,0,20.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
8,1,20.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 50.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
8,2,20.0,40,Bidder Andy,bid,70.0,"{'Bidder Andy': 70.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
9,0,20.0,40,Bidder Charles,hold,0.0,"{'Bidder Andy': 70.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
9,1,20.0,40,Bidder Andy,bid,75.0,"{'Bidder Andy': 75.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
9,2,20.0,40,Bidder Betty,hold,0.0,"{'Bidder Andy': 75.0, 'Bidder Betty': 11.0, 'Bidder Charles': 19.0}",Bidder Andy
